PUPIL_NUMBER	LEGAL_RES_DIST_CODE	COUNTY
234803	2043	15
238458	2043	15
234804	2043	15
234809	2043	15
238240	2043	15
252343	2043	15
247731	2043	15
252350	2043	15
252344	2043	15
252351	2043	15
252353	2043	15
252355	2043	15
252362	2043	15
259605	2043	15
247129	2043	15
251166	2042	15
251195	2043	15
251382	2043	15
250705	2043	15
256019	2043	15
256022	2043	15
256025	2043	15
256026	2043	15
256031	2043	15
256032	2043	15
256034	2043	15
256039	2043	15
256040	2043	15
256041	2043	15
252747	2043	15
253424	2043	15
253426	2043	15
244229	2043	15
244234	2043	15
244260	2043	15
251566	2043	15
251572	2043	15
251687	2043	15
251697	2043	15
245966	2043	15
246368	2043	15
246372	2043	15
246428	2043	15
252635	2043	15
252637	2043	15
252638	2043	15
249453	2043	15
249458	2043	15
249459	2043	15
249460	2043	15
249461	2043	15
246230	2043	15
246302	2043	
249462	2043	15
247216	2043	15
238229	2043	15
176168	2083	15
176173	2083	15
256947	2043	15
256970	2043	15
256669	2043	15
257402	2043	15
114772	2082	15
252547	2043	15
255973	2043	15
246982	2043	15
252878	2043	15
243584	2043	15
250569	2043	15
250570	2043	15
253019	2043	15
253020	2043	15
246636	2043	15
251574	2043	15
250657	2043	15
253268	2043	15
253269	2043	15
246217	2043	15
247849	2043	15
235809	2043	15
246902	2043	15
247077	2043	15
114810	2082	15
247130	2043	15
247161	2043	15
246497	2043	15
246498	2043	15
226619	2043	15
247079	2043	15
247413	2043	15
246802	2043	15
247209	2043	15
242597	2043	15
248046	2043	15
246897	2043	15
245689	2043	15
252368	2043	15
247392	2043	15
249593	2043	15
247559	2043	15
245597	2043	15
245598	2043	15
252367	2043	15
249895	2043	15
252370	2043	15
247213	2043	15
247779	2043	15
252366	2043	15
245660	2043	15
245666	2043	15
248790	2043	15
245714	2043	15
235823	2043	15
247018	2043	15
249092	2043	15
236874	2043	15
235840	2043	15
235874	2043	15
236811	2043	15
247333	2043	15
246963	2043	15
247407	2043	15
247408	2043	15
250663	2043	15
235917	2043	15
250674	2043	15
250677	2043	15
245443	2043	15
245444	2043	15
245446	2043	15
250151	2043	15
247617	2043	15
245804	2043	15
250165	2043	15
250182	2043	15
250212	2043	15
235328	2043	15
249863	2043	15
245984	2043	15
245986	2043	15
252373	2043	15
235761	2043	15
188118	2082	15
242513	2043	15
242637	2043	15
